id	character	word_id
1533	年	28901
1534	今	31050
1535	後	31050
1536	今	31052
1537	日	31052
1538	介	40059
1539	介	35587
1540	入	35587
1541	介	35603
1542	意	35603
1543	介	40097
1544	於	40097
1545	介	29110
1546	紹	29110
1547	介	35582
1548	面	35582
1549	仍	30303
1550	然	30303
1551	仍	33057
1552	舊	33057
1553	仔	31513
1554	細	31513
1555	仕	41516
1556	途	41516
1557	他	28971
1558	他	33287
1559	人	33287
1560	他	28972
1561	們	28972
1562	他	41710
1563	鄉	41710
1564	仗	37968
1565	仗	42910
1566	義	42910
1567	付	29508
1568	付	30944
1569	出	30944
1570	付	39417
1571	諸	39417
1572	仙	42186
1573	境	42186
1574	仙	37386
1575	女	37386
1576	代	30146
1577	代	31863
1578	價	31863
1579	代	38985
1580	勞	38985
1581	代	30887
1582	名	30887
1583	詞	30887
1584	代	31869
1585	替	31869
1586	代	31862
1587	溝	31862
1588	代	31866
1589	理	31866
1590	代	30147
1591	表	30147
1592	代	31864
1593	課	31864
1594	令	32675
1595	以	33713
1596	以	30067
1597	上	30067
1598	以	30068
1599	下	30068
1600	以	31429
1601	來	31429
1602	以	37689
1603	便	37689
1604	以	33735
1605	免	33735
1606	以	29212
1607	前	29212
1608	以	33725
1609	及	33725
1610	以	33742
1611	往	33742
1612	以	29211
1613	後	29211
1614	以	42575
1615	期	42575
1616	以	29422
1617	為	29422
1618	以	37753
1619	至	37753
1620	於	37753
1621	以	37754
1622	致	37754
1623	以	37723
1624	身	37723
1625	作	37723
1626	則	37723
1627	以	37694
1628	防	37694
1629	以	42546
1630	防	42546
1631	萬	42546
1632	一	42546
1633	仰	42494
1634	仗	42494
1635	仰	42491
1636	天	42491
1637	仰	42488
1638	慕	42488
1639	仰	37656
1640	望	37656
1641	仰	37653
1642	賴	37653
1643	仰	42492
1644	頭	42492
1645	仲	34011
1646	介	34011
1647	件	29106
1648	任	33032
1649	任	31221
1650	何	31221
1651	任	31227
1652	務	31227
1653	任	36572
1654	命	36572
1655	任	36588
1656	性	36588
1657	任	36591
1658	意	36591
1659	任	36573
1660	憑	36573
1661	任	36567
1662	教	36567
1663	任	36574
1664	期	36574
1665	任	36593
1666	用	36593
1667	任	36594
1668	由	36594
1669	任	36597
1670	職	36597
1671	份	29288
1672	仿	32031
1673	冒	32031
1674	仿	39282
1675	效	39282
1676	仿	39286
1677	照	39286
1678	企	36381
1679	圖	36381
1680	企	31199
1681	業	31199
1682	企	32924
1683	業	32924
1684	界	32924
1685	企	36361
1686	畫	36361
1687	企	41015
1688	盼	41015
1689	伊	42527
1690	伊	42595
1691	斯	42595
1692	蘭	42595
1693	教	42595
1694	伍	42041
1695	伎	39898
1696	倆	39898
1697	休	37551
1698	休	33640
1699	假	33640
1700	休	42374
1701	學	42374
1702	休	29202
1703	息	29202
1704	休	42373
1705	想	42373
1706	休	42368
1707	憩	42368
1708	休	42376
1709	止	42376
1710	休	30533
1711	閒	30533
1712	休	37564
1713	養	37564
1714	伙	39866
1715	食	39866
1716	伯	29466
1718	伯	29882
1719	母	29882
1720	伯	38524
1721	爵	38524
1722	伯	29881
1723	父	29881
1724	估	35132
1725	算	35132
1726	估	32180
1727	計	32180
1728	估	39542
1729	量	39542
1730	伴	31555
1731	侶	31555
1732	伴	38380
1733	奏	38380
1734	伴	31556
1735	隨	31556
1736	伶	40542
1737	俐	40542
1738	伸	31254
1739	伸	36743
1740	展	36743
1741	伸	41412
1742	張	41412
1743	伸	41416
1744	直	41416
1745	伺	34558
1746	候	34558
1747	伺	41638
1748	機	41638
1749	似	33254
1750	乎	33254
1751	似	41656
1752	是	41656
1753	而	41656
1754	非	41656
1755	似	41632
1756	曾	41632
1757	相	41632
1758	識	41632
1759	似	36946
1760	的	36946
1761	但	29277
1762	是	29277
1763	但	31884
1764	願	31884
1765	佇	43111
1766	立	43111
1767	位	28983
1768	位	29820
1769	子	29820
1770	位	41997
1771	居	41997
1772	位	37257
1773	於	37257
1774	位	31349
1775	置	31349
1776	低	29061
1777	低	34712
1778	下	34712
1779	低	34703
1780	估	34703
1781	低	39063
1782	劣	39063
1783	低	39053
1784	垂	39053
1785	低	34707
1786	廉	34707
1787	低	34697
1788	沉	34697
1789	低	34696
1790	潮	34696
1791	低	31921
1792	級	31921
1793	低	31925
1794	聲	31925
1795	低	31923
1796	落	31923
1797	低	34700
1798	調	34700
1799	低	39064
1800	迷	39064
1801	低	39061
1802	階	39061
1803	低	29913
1804	頭	29913
1805	住	29239
1806	住	30095
1807	址	30095
1808	住	34054
1809	宅	34054
1810	住	34042
1811	家	34042
1812	住	34048
1813	宿	34048
1814	住	31501
1815	戶	31501
1816	住	43117
1817	手	43117
1818	住	31503
1819	院	31503
1820	佐	43273
1821	證	43273
1822	佔	42890
1823	上	42890
1824	風	42890
1825	佔	37958
1826	據	37958
1827	佔	33896
1828	有	33896
1829	佔	42896
1830	用	42896
1831	佔	33893
1832	領	33893
1833	何	35259
1834	以	35259
1835	何	39705
1836	其	39705
1837	何	39706
1838	去	39706
